WBAN,YearMonthDay,Tmax,TmaxFlag,Tmin,TminFlag,Tavg,TavgFlag,Depart,DepartFlag,DewPoint,DewPointFlag,WetBulb,WetBulbFlag,Heat,HeatFlag,Cool,CoolFlag,Sunrise,SunriseFlag,Sunset,SunsetFlag,CodeSum,CodeSumFlag,Depth,DepthFlag,Water1,Water1Flag,SnowFall,SnowFallFlag,PrecipTotal,PrecipTotalFlag,StnPressure,StnPressureFlag,SeaLevel,SeaLevelFlag,ResultSpeed,ResultSpeedFlag,ResultDir,ResultDirFlag,AvgSpeed,AvgSpeedFlag,Max5Speed,Max5SpeedFlag,Max5Dir,Max5DirFlag,Max2Speed,Max2SpeedFlag,Max2Dir,Max2DirFlag
23234,20131201,67, ,46, ,57, , 6, ,46, ,50, ,8, , 0, ,0706, ,1652, , , ,0, ,M, ,0.0, ,0.00, ,30.24, ,30.27, , 2.8, ,30, ,3.7, ,16, ,280, ,14, ,280, 
23234,20131202,62, ,46, ,54, , 3, ,49, ,51, ,11, , 0, ,0707, ,1652, ,DZ BCFG BR, ,0, ,M, ,0.0, ,  T, ,30.08, ,30.10, ,14.4, ,28, ,13.6, ,38, ,280, ,33, ,280, 
23234,20131203,56, ,46, ,51, , 0, ,36, ,45, ,14, , 0, ,0707, ,1651, , , ,0, ,M, ,0.0, ,0.00, ,29.90, ,29.92, ,13.1, ,29, ,13.5, ,31, ,280, ,24, ,290, 
23234,20131204,52, ,39, ,46, ,-5, ,26, ,38, ,19, , 0, ,0708, ,1651, , , ,0, ,M, ,0.0, ,0.00, ,30.01, ,30.03, , 2.9, ,31, ,5.4, ,16, ,350, ,14, ,350, 
23234,20131205,51, ,35, ,43, ,-7, ,24, ,36, ,22, , 0, ,0709, ,1651, , , ,0, ,M, ,0.0, ,0.00, ,30.11, ,30.14, , 1.8, ,20, ,4.4, ,14, ,130, ,12, ,130, 
23234,20131206,53, ,37, ,45, ,-5, ,37, ,42, ,20, , 0, ,0710, ,1651, ,RA, ,0, ,M, ,0.0, ,0.29, ,30.08, ,30.10, , 5.5, ,21, ,8.6, ,43, ,240, ,30, ,250, 
23234,20131207,52, ,38, ,45, ,-5, ,29, ,39, ,20, , 0, ,0711, ,1651, , , ,0, ,M, ,0.0, ,0.06, ,30.10, ,30.11, ,12.8, ,29, ,13.0, ,36, ,280, ,29, ,280, 
23234,20131208,47, ,36, ,42, ,-8, ,24, ,36, ,23, , 0, ,0712, ,1651, , , ,0, ,M, ,0.0, ,0.00, ,30.26, ,30.28, , 8.3, ,06, ,9.8, ,24, ,060, ,22, ,060, 
23234,20131209,52, ,36, ,44, ,-6, ,23, ,36, ,21, , 0, ,0713, ,1651, , , ,0, ,M, ,0.0, ,0.00, ,30.35, ,30.37, , 5.4, ,10, ,7.5, ,23, ,050, ,20, ,050, 
23234,20131210,52, ,34, ,43, ,-7, ,30, ,38, ,22, , 0, ,0713, ,1651, , , ,0, ,M, ,0.0, ,0.00, ,30.27, ,30.30, , 1.9, ,13, ,3.0, ,13, ,090, ,10, ,080, 
23234,20131211,57, ,38, ,48, ,-2, ,32, ,40, ,17, , 0, ,0714, ,1651, , , ,0, ,M, ,0.0, ,0.00, ,30.19, ,30.21, , 2.2, ,12, ,2.7, ,16, ,070, ,14, ,070, 
23234,20131212,54, ,38, ,46, ,-4, ,35, ,42, ,19, , 0, ,0715, ,1651, , , ,0, ,M, ,0.0, ,0.00, ,30.21, ,30.22, , 2.5, ,28, ,4.0, ,20, ,280, ,16, ,290, 
23234,20131213,53, ,40, ,47, ,-2, ,41, ,45, ,18, , 0, ,0716, ,1652, , , ,0, ,M, ,0.0, ,0.00, ,30.27, ,30.28, , 1.0, ,30, ,4.2, ,14, ,280, ,12, ,280, 
23234,20131214,61, ,39, ,50, , 1, ,37, ,44, ,15, , 0, ,0716, ,1652, , , ,0, ,M, ,0.0, ,0.00, ,30.33, ,30.35, , 0.5, ,26, ,2.2, ,10, ,080, ,9, ,110, 
23234,20131215,60, ,40, ,50, , 1, ,38, ,45, ,15, , 0, ,0717, ,1652, , , ,0, ,M, ,0.0, ,0.00, ,30.27, ,30.30, , 1.1, ,10, ,1.9, ,12, ,140, ,10, ,140, 
23234,20131216,65, ,43, ,54, , 5, ,37, ,46, ,11, , 0, ,0718, ,1652, , , ,0, ,M, ,0.0, ,0.00, ,30.16, ,30.17, , 1.5, ,12, ,2.2, ,13, ,140, ,10, ,150, 
